[ 2025-02-14 17:09:51,816 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-14 17:09:56,645 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-14 17:09:56,645 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-14 17:09:56,646 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-14 17:09:56,703 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-14 17:09:56,704 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-14 17:09:56,725 ] 27 root - INFO - Initiate the data Validation
[ 2025-02-14 17:09:56,841 ] 32 root - INFO - Required number of columns:2
[ 2025-02-14 17:09:56,842 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-14 17:09:56,842 ] 32 root - INFO - Required number of columns:2
[ 2025-02-14 17:09:56,842 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-14 17:09:57,003 ] 29 root - INFO - data Validation Completed
[ 2025-02-14 17:09:57,005 ] 33 root - INFO - data Transformation started
[ 2025-02-14 17:09:57,005 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-14 17:09:57,005 ] 65 root - INFO - Starting data transformation
[ 2025-02-14 17:09:57,046 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-14 17:09:57,047 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-14 17:09:57,070 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-14 17:09:57,078 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-14 17:09:57,080 ] 37 root - INFO - data Transformation completed
[ 2025-02-14 17:09:57,081 ] 39 root - INFO - Model Training sstared
[ 2025-02-14 17:15:55,353 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-14 17:15:55,357 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-14 17:15:55,357 ] 125 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_14_2025_17_09_36\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907866761162296, precision_score=0.9886845827439887, recall_score=0.9928977272727273), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.976857490864799, precision_score=0.9748784440842788, recall_score=0.9788445890968267))
[ 2025-02-14 17:15:55,366 ] 44 root - INFO - Model Training artifact created
